Sigla,Codigo,Municipio,Numero de suicidios,Numero de suicidios do sexo feminino,Numero de suicidios de jovens de 15 a 29 anos,Numero de suicidios do sexo masculino,Taxa de suicidios(100.000 Habitantes),Taxa de suicidios do sexo feminino(100.000 Habitantes) ,Taxa de suicidios de jovens de 15 a 29 anos do sexo feminino(100.000 Habitantes) ,Taxa de suicidios de jovens(100.000 Habitantes),Taxa de suicidios do sexo masculino(100.000 Habitantes),Taxa de suicidios de jovens de 15 a 29 anos do sexo masculino(100.000 Habitantes),ano,IDHM (2000),IDHM (2010),IDHM Renda (2010),IDHM Longevidade (2010),IDHM Educacao (2010)
AC,1200013,Acrelândia,,,,,,,,,,,2001,451,604,584,808,466
AC,1200054,Assis Brasil,,,,,,,,,,,2001,425,588,578,770,456
AC,1200104,Brasiléia,,,,,,,,,,,2001,476,614,619,770,485
AC,1200138,Bujari,,,,,,,,,,,2001,460,589,603,772,439
AC,1200179,Capixaba,1,1,,,17.98,39.57,,,,,2001,365,575,601,794,398
AC,1200203,Cruzeiro do Sul,,,,,,,,,,,2001,510,664,648,776,582
AC,1200252,Epitaciolândia,,,,,,,,,,,2001,474,653,654,771,553
AC,1200302,Feijó,1,,,1,3.59,,,,7.01,,2001,323,539,559,723,388
AC,1200328,Jordão,,,,,,,,,,,2001,222,469,499,731,283
AC,1200336,Mâncio Lima,,,,,,,,,,,2001,456,625,580,770,546
AC,1200344,Manoel Urbano,,,,,,,,,,,2001,395,551,586,767,373
AC,1200351,Marechal Thaumaturgo,,,,,,,,,,,2001,301,501,479,726,361
AC,1200385,Plácido de Castro,1,,,1,6.45,,,,12.26,,2001,464,622,593,786,517
AC,1200807,Porto Acre,,,,,,,,,,,2001,443,576,593,771,418
AC,1200393,Porto Walter,,,,,,,,,,,2001,342,532,521,726,397
AC,1200401,Rio Branco,26,2,14,24,9.95,1.49,4.67,17.14,18.85,30.87,2001,591,727,729,798,661
AC,1200427,Rodrigues Alves,,,,,,,,,,,2001,399,567,518,736,477
AC,1200435,Santa Rosa do Purus,,,,,,,,,,,2001,277,517,519,781,340
AC,1200500,Sena Madureira,,,,,,,,,,,2001,451,603,593,810,456
AC,1200450,Senador Guiomard,,,,,,,,,,,2001,488,640,649,786,513
AC,1200609,Tarauacá,,,,,,,,,,,2001,386,539,554,720,392
AC,1200708,Xapuri,1,,1,1,8.26,,,30.26,15.90,56.92,2001,445,599,621,773,448
AL,2700102,Água Branca,,,,,,,,,,,2001,392,549,527,728,432
AL,2700201,Anadia,2,,1,2,11.10,,,19.29,22.13,37.92,2001,428,568,546,756,444
AL,2700300,Arapiraca,14,2,6,12,7.41,2.03,6.90,10.87,13.28,15.26,2001,476,649,638,780,549
AL,2700409,Atalaia,,,,,,,,,,,2001,407,561,545,752,431
AL,2700508,Barra de Santo Antônio,,,,,,,,,,,2001,378,557,552,732,428
AL,2700607,Barra de São Miguel,,,,,,,,,,,2001,440,615,638,767,475
AL,2700706,Batalha,,,,,,,,,,,2001,401,594,563,752,496
AL,2700805,Belém,2,,1,2,33.79,,,59.00,69.78,118.91,2001,416,593,587,764,464
AL,2700904,Belo Monte,,,,,,,,,,,2001,331,517,507,725,376
AL,2701001,Boca da Mata,,,,,,,,,,,2001,420,604,560,758,518
AL,2701100,Branquinha,,,,,,,,,,,2001,311,513,534,699,362
AL,2701209,Cacimbinhas,,,,,,,,,,,2001,359,531,559,697,384
AL,2701308,Cajueiro,,,,,,,,,,,2001,385,562,542,691,473
AL,2701357,Campestre,1,,1,1,17.06,,,58.14,33.92,111.36,2001,412,559,550,729,435
AL,2701407,Campo Alegre,,,,,,,,,,,2001,393,570,531,742,470
AL,2701506,Campo Grande,,,,,,,,,,,2001,337,524,502,739,387
AL,2701605,Canapi,,,,,,,,,,,2001,306,506,504,719,357
AL,2701704,Capela,,,,,,,,,,,2001,379,573,554,743,456
AL,2701803,Carneiros,,,,,,,,,,,2001,356,526,517,709,398
AL,2701902,Chã Preta,,,,,,,,,,,2001,383,575,537,737,481
AL,2702009,Coité do Nóia,,,,,,,,,,,2001,354,533,520,730,398
AL,2702108,Colônia Leopoldina,1,,,1,5.69,,,,11.19,,2001,377,517,548,693,363
AL,2702207,Coqueiro Seco,,,,,,,,,,,2001,466,586,582,757,457
AL,2702306,Coruripe,1,,1,1,2.26,,,7.42,4.50,14.64,2001,419,626,591,769,541
AL,2702355,Craíbas,1,,1,1,4.73,,,17.34,9.53,34.87,2001,344,525,517,687,408
AL,2702405,Delmiro Gouveia,,,,,,,,,,,2001,436,612,599,774,494
AL,2702504,Dois Riachos,,,,,,,,,,,2001,370,532,513,762,385
AL,2702553,Estrela de Alagoas,,,,,,,,,,,2001,322,534,515,720,410
AL,2702603,Feira Grande,,,,,,,,,,,2001,371,533,512,736,402
AL,2702702,Feliz Deserto,,,,,,,,,,,2001,411,565,550,708,462
AL,2702801,Flexeiras,,,,,,,,,,,2001,373,527,528,693,400
AL,2702900,Girau do Ponciano,,,,,,,,,,,2001,335,536,498,762,405
AL,2703007,Ibateguara,,,,,,,,,,,2001,337,518,517,684,393
AL,2703106,Igaci,1,,,1,3.92,,,,7.98,,2001,366,564,547,774,424
AL,2703205,Igreja Nova,1,,,1,4.63,,,,9.14,,2001,374,568,556,771,428
AL,2703304,Inhapi,,,,,,,,,,,2001,281,484,501,718,316
AL,2703403,Jacaré dos Homens,,,,,,,,,,,2001,400,583,543,759,481
AL,2703502,Jacuípe,,,,,,,,,,,2001,358,548,532,755,410
